Species,Longitude,Latitude
cformosa,-86.95000,12.68333
cformosa,-85.95830,11.76000
cformosa,-86.31405,12.22806
cformosa,-88.50883,13.22400
cformosa,-88.76167,13.23833
cformosa,-93.98361,16.60000
cformosa,-87.38000,14.25000
cformosa,-93.65667,15.95333
cformosa,-86.41667,12.05000
cformosa,-93.30385,16.96436
cformosa,-92.40694,14.70694
cformosa,-93.53833,16.69500
cformosa,-85.43333,11.98333
cformosa,-93.32851,16.74247
cformosa,-93.82278,16.06250
cformosa,-91.86000,15.86833
cformosa,-94.21667,16.67333
cformosa,-94.23333,16.45000
cformosa,-92.14139,15.80472
cformosa,-92.63400,16.08100
cformosa,-92.72417,15.03750
cformosa,-88.08333,13.58333
cformosa,-93.52333,15.75500
cformosa,-93.10230,16.60690
cformosa,-85.08333,10.41667
cformosa,-85.71232,10.84063
cformosa,-93.06889,15.80222
cformosa,-94.03775,16.38495
cformosa,-89.89100,13.84800
cformosa,-93.49333,16.98361
cformosa,-88.27500,13.46800
cformosa,-93.13778,17.09000
cformosa,-93.32389,15.99306
cformosa,-92.50222,15.27972
cformosa,-84.93333,10.55000
cformosa,-93.09583,16.90500
cformosa,-92.19872,14.85731
cformosa,-90.42848,13.87835
cformosa,-85.61296,11.21659
cformosa,-87.50330,12.88870
cformosa,-86.05158,11.93748
cformosa,-91.13950,14.52685
cformosa,-85.32635,10.74016
cformosa,-92.26632,14.58100
cformosa,-91.73300,14.63700
cformosa,-92.88957,15.52150
cformosa,-89.56770,14.33265
cformosa,-85.95678,11.27249
cformosa,-86.26605,11.85873
cformosa,-85.48138,9.86886
cformosa,-87.23500,13.85700
cformosa,-93.86270,16.29710
cformosa,-87.61911,13.29026
cformosa,-84.83166,10.28941
cformosa,-87.02761,13.28743
cformosa,-85.55543,11.51470
cformosa,-92.86076,16.57890
cformosa,-92.95792,15.28429
cformosa,-85.77481,10.09456
cformosa,-92.32902,15.17130
cformosa,-85.82663,11.41885
cformosa,-85.05841,10.73129
cformosa,-94.52257,16.30423
cformosa,-94.38730,16.57194
cformosa,-84.61235,9.80672
cformosa,-86.07767,12.12316
cformosa,-92.68727,15.22298
cformosa,-93.19317,15.57410
cformosa,-92.54263,16.30687
cformosa,-94.05254,16.18934
cformosa,-93.62033,16.37950
cformosa,-85.04685,10.14896
cformosa,-88.10286,13.92872
cformosa,-86.57300,14.03930
cformosa,-86.91050,13.87144
cformosa,-85.83841,10.29955
cformosa,-84.90806,9.81299
cformosa,-92.96809,16.75864
cformosa,-85.47436,11.04707
cformosa,-87.10449,13.48225
cformosa,-85.34635,10.30188
cformosa,-92.27389,16.18998
cformosa,-92.07695,15.05793
cformosa,-85.07456,9.65304
cformosa,-87.10743,14.11344
cformosa,-93.55608,16.15424
cformosa,-85.66025,9.94078
cformosa,-85.51801,10.15415
cformosa,-85.49418,10.61230
cformosa,-85.25270,10.50681
cformosa,-84.64268,10.46783
cformosa,-85.74455,11.03087
cformosa,-85.75492,10.52897
cformosa,-89.42077,13.72213
cformosa,-86.30445,11.60920
cformosa,-89.35663,13.48695
cformosa,-86.14998,11.48235
cformosa,-87.63024,13.50766
cformosa,-89.18726,13.63785
cformosa,-90.84000,14.28584
cformosa,-91.47028,14.60007
cformosa,-98.38333,16.45000
cformosa,-103.59056,18.53083
cformosa,-100.73587,19.03817
cformosa,-101.75000,19.15833
cformosa,-98.39333,18.49167
cformosa,-99.56667,17.93333
cformosa,-104.66500,19.45500
cformosa,-100.36000,17.25833
cformosa,-100.69504,17.27418
cformosa,-103.96500,18.93333
cformosa,-104.00000,19.16167
cformosa,-104.21000,19.57500
cformosa,-103.11992,19.76121
cformosa,-105.34000,20.19528
cformosa,-103.61667,19.11333
cformosa,-105.50000,20.35500
cformosa,-99.91700,16.85000
cformosa,-100.11700,17.41700
cformosa,-97.28700,16.23700
cformosa,-97.15359,16.10083
cformosa,-99.09677,18.91925
cformosa,-99.66700,17.55000
cformosa,-99.83500,17.33333
cformosa,-100.61800,17.57300
cformosa,-97.65610,16.00030
cformosa,-103.01000,18.21400
cformosa,-101.44833,18.42500
cformosa,-103.23972,18.26028
cformosa,-101.91194,18.84861
cformosa,-102.15333,18.40333
cformosa,-102.12833,18.88361
cformosa,-101.65222,18.69722
cformosa,-103.37000,18.96800
cformosa,-102.36750,18.51806
cformosa,-99.88667,18.00333
cformosa,-99.71700,16.80000
cformosa,-100.30800,18.43800
cformosa,-97.84000,17.19000
cformosa,-102.06100,18.03600
cformosa,-102.34167,19.10000
cformosa,-102.43667,18.34361
cformosa,-103.61556,18.77694
cformosa,-103.45194,18.35917
cformosa,-102.81917,18.11889
cformosa,-100.61667,19.23333
cformosa,-98.62290,16.56940
cformosa,-100.32311,17.05206
cformosa,-98.16416,16.21697
cformosa,-99.46103,17.35689
cformosa,-99.83578,17.12323
cformosa,-98.03808,17.95152
cformosa,-101.63981,17.67068
cformosa,-98.18630,18.17490
cformosa,-99.35002,18.56620
cformosa,-99.24203,17.42409
cformosa,-99.11869,18.45405
cformosa,-104.21921,19.83504
cformosa,-98.91051,18.00888
cformosa,-104.43363,19.77527
cformosa,-98.95785,18.33675
cformosa,-103.76035,19.36115
cformosa,-102.01923,19.16790
cformosa,-100.13820,16.96427
cformosa,-98.84159,16.56749
cformosa,-97.23799,15.92978
cformosa,-104.39900,19.10398
cformosa,-103.34077,19.16813
cformosa,-101.61844,18.88793
cformosa,-99.11192,18.73086
cformosa,-104.08715,19.36959
cformosa,-97.05225,15.84566
cformosa,-102.57423,19.51853
cformosa,-105.07188,19.52604
cformosa,-99.20123,16.78408
cformosa,-102.32635,18.03350
cformosa,-101.44080,17.53680
cformosa,-104.08088,20.25121
cformosa,-104.71311,19.22646
cformosa,-103.55000,19.40500
cformosa,-103.94241,19.59591
cformosa,-97.90667,16.96333
cformosa,-95.82964,16.44958
cformosa,-96.03500,16.62833
cformosa,-95.33500,16.33333
cformosa,-95.03167,16.72000
cformosa,-94.90167,16.46667
cformosa,-95.04167,16.90658
cformosa,-95.57833,16.43833
cformosa,-95.14706,16.19225
cformosa,-94.61700,16.56700
cformosa,-96.49000,15.97440
cformosa,-95.75806,15.90068
cformosa,-96.31970,16.69460
cformosa,-95.52484,16.84858
cformosa,-94.76609,16.70452
cformosa,-96.19384,15.76935
cformosa,-95.97528,15.84052
cformosa,-96.46680,15.75427
cformosa,-95.20110,16.53551
cformosa,-95.38227,16.04507
cformosa,-96.21667,16.90000
